ticket_id,city,issue_type,ticket_status,issue_description,rating,ticket_closed_date_time,acknowledged_at,ticket_created_date_time,ticket_last_updated_date_time,address,lat,lng,location,image
964046,City of Somerville,Other,Archived,The residents at 119 Central St. never cleared their sidewalks after the last storms. The snow has finally melted but it's still very icy and has been for weeks.,3,03/13/2014 07:00:51 PM,03/03/2014 09:37:24 AM,03/01/2014 02:28:07 PM,03/13/2014 07:00:52 PM,"119 Central St Somerville, MA 02145, USA",42.3909354099808,-71.1014786,"(42.39093541, -71.1014786)",
876017,Fall River,Sidewalk Repair,Archived,"This house is on the corner, the entire corner of John St and Plymouth Ave isn't shoveled and there is a foot of snow here.",3,01/15/2014 10:09:16 AM,,01/03/2014 02:39:28 PM,01/15/2014 10:09:16 AM,"593 Plymouth Avenue Fall River, Massachusetts",41.6940108531237,-71.1553280907379,"(41.6940108531, -71.1553280907)",
856975,Malden,Winter Weather,Archived,Fairfield Ave/Delta Terrace - residents are not removing cars from street during snow storms - therefore not allowing city to plow in an efficient manner.  It leaves one having to zig zag while driving the streets. Cars are everywhere. Parking on Both sides of street as well. Need to enforce winter street parking rules and start ticketing so they'll get the message. Same with upper Salem Street cars on both sides of street.   City did a terrible job plowing due to cars not moving and when it hardened on sunday afternoon boxing cars in now it can't be removed cause it's like cement.,3,12/26/2013 05:41:14 PM,,12/17/2013 07:58:05 AM,12/26/2013 05:41:14 PM,Malden Ma,42.4250964000405,-71.066163,"(42.4250964, -71.066163)",
932110,City of Somerville,Snow-Streets not shoveled,Archived,The sidewalks in front of this property have not been cleared and are an icy mess.,4,03/18/2014 09:29:21 AM,02/10/2014 10:17:09 AM,02/08/2014 07:15:07 AM,03/18/2014 09:29:21 AM,"42 Clarendon Avenue Somerville, MA 02144, USA",42.4022210000006,-71.128763,"(42.402221, -71.128763)",
933816,Saugus,Snow Removal,Archived,"Hello,  Could you please remove large amounts of snow at the bus stops along Lincoln Avenue (Tedeschi's market) and Central Street corner.  Staaf Road along Essex street.  There is no safe access to the sidewalks, standing in the road.  Thank you.",2,03/17/2014 10:36:40 AM,02/13/2014 07:37:43 AM,02/10/2014 10:31:24 AM,03/17/2014 10:36:40 AM,"Lincoln Avenue  Saugus, MA",42.4499767,-71.0009642,"(42.4499767, -71.0009642)",
239293,Andover,Tree Issue,Archived,Branches on the tree at the end of the driveway are growing above and through the electrical and other utility wires.  There is a danger of them coming down in a heavy snow/ice storm and taking out said wires.  Please trim back.,4,12/07/2012 06:10:19 AM,09/27/2012 06:36:50 AM,09/26/2012 02:59:32 PM,12/19/2012 12:07:21 PM,"26 Riverina Rd Andover, MA",42.674944,-71.150098,"(42.674944, -71.150098)",
437179,Fall River,Other,Archived,Please send a snow plow to Nelson St. No plow has come down here yet today or last night. cars are having a very difficult time,2,03/27/2013 03:45:20 PM,03/27/2013 03:44:43 PM,03/08/2013 07:46:54 PM,05/08/2013 12:57:18 AM,"233 Nelson St Fall River, MA",41.681506,-71.14995,"(41.681506, -71.14995)",
874032,Needham,Winter Weather Issues,Archived,Nurse request snow kept out of end of driveway so she can go to work tommorow morning.,3,01/02/2014 10:16:35 AM,01/02/2014 09:20:33 AM,01/02/2014 09:20:10 AM,01/02/2014 10:16:35 AM,"43 Oakhurst Circle Needham, MA",42.2723384,-71.235498,"(42.2723384, -71.235498)",
937841,Needham,Winter Weather Issues,Archived,"The sidewalk of Hasenfus Circle has yet to be cleared after this past storm, nor any other.  Hasenfus Circle is the only available parking for parents visiting or picking up / dropping off children at Hillside Elementary.  Parents and children are walking in the street.  This is a persistent problem.  Are the property owners responsible for removing snow from sidewalks abutting their property?  If so, they need to be made aware or reminded of their responsibilities.  If not, the town needs to add this.",4,02/13/2014 09:14:42 AM,02/13/2014 04:50:30 AM,02/12/2014 02:01:55 PM,02/13/2014 10:04:27 AM,"Hasenfus Circle Needham, MA",42.2951264,-71.2391271,"(42.2951264, -71.2391271)",
878693,Malden,Winter Weather,Archived,"58 Grace street, on the corner of Grace and Glenwood, has not shoveled the sidewalk on the Glennwood side of their house. They did not shovel this side of their house after the last storm either. There is a fire hydrant and a sand barrel here, and access to them is being blocked by snow.",2,01/12/2014 09:09:10 AM,,01/06/2014 09:39:02 AM,01/12/2014 09:09:10 AM,"58 Grace Street Malden, MA",42.4340778,-71.078619,"(42.4340778, -71.078619)",https://seeclickfix.com/files/issue_images/0016/9964/IMG_0253_1_.JPG
928967,Malden,Winter Weather,Archived,JRM putting snow from their lot blocking City Sidewalk,3,02/20/2014 05:08:28 PM,02/07/2014 08:10:51 AM,02/06/2014 04:15:42 PM,02/20/2014 05:08:28 PM,"Eastern Ave  Malden, MA",42.4298186,-71.046916,"(42.4298186, -71.046916)",
1050583,Hopkinton,Roadwork,Archived,Snow plow left gravel at end of Pine Island Road (at the beginning of the 86 Pine Island Road driveway).,2,04/28/2014 10:31:59 AM,04/24/2014 03:31:28 PM,04/24/2014 03:29:31 PM,04/28/2014 10:31:59 AM,"86 Pine Island Road Hopkinton, Massachusetts",42.1876301600793,-71.5522851843185,"(42.1876301601, -71.5522851843)",
440612,Malden,Storm Water Flooding,Archived,A resident reported that after the snow melted he discovered a manhole cover on the side of the hill by 45 Lillian Road,3,03/14/2013 02:42:19 PM,,03/14/2013 12:34:30 PM,03/23/2013 12:05:52 AM,"45 Lillian Road Malden, MA",42.4343069,-71.054992,"(42.4343069, -71.054992)",
822584,Needham,Other,Archived,Install hydrant snow flag on the first hydrant on Broad Meadow coming from Great Plain Avenue.,2,01/17/2014 10:38:07 AM,11/15/2013 10:46:20 AM,11/15/2013 10:45:42 AM,01/17/2014 10:38:07 AM,"272-298 Broad Meadow Road Needham, Massachusetts",42.2760732887557,-71.2144611714722,"(42.2760732888, -71.2144611715)",
960026,Holyoke,Streets and Sidewalks,Open,"The latest road work on 91N and 91S at mile marker 12.2 caused a dangerous dip in the road that causes snow, ice, and objects to be thrown from vehicles as they hit it. It also results in the sudden deceleration of drivers who forget it's there until the last minute.",3,,,02/26/2014 06:53:40 PM,03/29/2014 10:43:43 AM,Massachusetts Massachusetts,42.1712160958941,-72.6437593996525,"(42.1712160959, -72.6437593997)",https://seeclickfix.com/files/issue_images/0017/9249/SCF__20140225_153725-452225568.jpg
437130,City of Quincy,Snow Plowing,Archived,"I understand that it is still snowing out, but the snow plow keeping this area clear of snow has resulted in the fire hydrant being buried in snow which is quite dangerous.",2,03/12/2013 03:16:00 PM,,03/08/2013 05:37:20 PM,04/05/2013 07:57:30 PM,"511r Hancock Street Quincy, MA",42.270225140477,-71.021873528243,"(42.2702251405, -71.0218735282)",https://seeclickfix.com/files/issue_images/0011/0070/Snow_covered_fire_hydrant.JPG
929921,City of Somerville,Snow-Streets not shoveled,Archived,Giant ice slick outside 9 Columbus Ave - very dangerous for pedestrians,6,03/18/2014 11:03:11 AM,02/10/2014 10:10:59 AM,02/07/2014 08:09:01 AM,03/18/2014 11:03:11 AM,"10 Columbus Avenue Somerville, MA 02143, USA",42.3798904418945,-71.0929870605469,"(42.3798904419, -71.0929870605)",https://seeclickfix.com/files/issue_images/0017/5507/1391778517919.jpg
856185,City of Quincy,Snow Plowing,Acknowledged,There are so many Hannaford and Rite Aid customers who use this entrance but the sidewalks and walking path are poorly cleared.  Please see photos.,4,,12/18/2013 10:31:49 AM,12/16/2013 09:10:31 PM,12/18/2013 10:31:49 AM,"511r Hancock Street Quincy, Massachusetts",42.2704341035574,-71.0224244537127,"(42.2704341036, -71.0224244537)",https://seeclickfix.com/files/issue_images/0016/7623/IMG_0011.JPG
942731,City of Somerville,Snow-Streets not shoveled,Archived,"602 Broadway.  The landlord and/or tenants refuse to shovel after every snowstorm.  The city needs to enforce the shoveling rules, especially in heavily trafficked areas.  I've seen students & elderly leave the sidewalk and go into the street to get by.  And this house is only one of many.",4,03/17/2014 01:58:28 PM,02/18/2014 04:47:12 PM,02/15/2014 10:19:19 AM,03/18/2014 09:24:06 AM,"1-9 Wilson Avenue Somerville, MA 02145, USA",42.3986511,-71.1086797,"(42.3986511, -71.1086797)",
940972,Needham,Winter Weather Issues,Archived,Removal snow piled at end of driveway at end of Cul-de-sac.,3,02/14/2014 09:43:27 AM,02/14/2014 09:14:16 AM,02/14/2014 09:12:27 AM,02/14/2014 09:43:27 AM,"51 Aldridge Road Needham, MA",42.266016,-71.241772,"(42.266016, -71.241772)",
875759,Malden,Winter Weather,Archived,The road has more than two inches of snow with visible deep skid and tire marks.,2,01/03/2014 11:29:58 PM,,01/03/2014 10:31:45 AM,01/03/2014 11:29:58 PM,"Regent Road Malden, MA",42.4155797,-71.0667399,"(42.4155797, -71.0667399)",
947589,Needham,Winter Weather Issues,Archived,Remove snow around Hydrant @ intersection of Valley Rd & Norwich Rd.,2,02/21/2014 10:50:59 AM,02/19/2014 04:29:59 PM,02/19/2014 04:16:32 PM,02/21/2014 10:50:59 AM,"83 Valley Road Needham, MA",42.274805,-71.202624,"(42.274805, -71.202624)",
890556,Needham,Potholes,Archived,Resident reported very poor condition of road after water and sewer work with snow storms and plowing has caused 2 vehicles to get flat tires that drivers had to repair in her driveway.,3,01/16/2014 02:58:25 PM,01/13/2014 03:23:40 PM,01/13/2014 03:23:18 PM,01/16/2014 02:58:25 PM,"880-898 South Street Needham, Massachusetts",42.2626403672469,-71.2416090661926,"(42.2626403672, -71.2416090662)",
928966,Malden,Winter Weather,Archived,M&M Liquors lot piling snow from the lot on City Sidewalks,2,03/03/2014 07:57:09 AM,02/07/2014 08:12:09 AM,02/06/2014 04:15:39 PM,03/03/2014 07:57:09 AM,"Broadway  Malden, MA",42.4355514,-71.0382317,"(42.4355514, -71.0382317)",
943336,Revere,Winter Weather,Archived,Hi there I contacted the mayors office asking for help but not sure if you can help at all.  The DPW continues to plow an entire street in front of my house.  They plow the small hill of Cary Ave into my house on Eustis Street.  There is too much snow to clear and I would like them to stop doing it please.  Thoughts? Please fix the issue.,2,02/20/2014 09:11:33 AM,02/18/2014 03:47:23 PM,02/16/2014 12:40:00 AM,02/20/2014 09:11:33 AM,"1-9 Cary Ave Revere, Massachusetts",42.408855,-71.0066719,"(42.408855, -71.0066719)",
895725,Needham,"Sidewalk & Curb Issues (installation, repair, etc)",Archived,"Once the snow melted, the home owner could see that a section of the curb was destroyed by the Town plow.  Please repair the curbing.",3,08/25/2014 08:48:43 AM,01/15/2014 04:34:24 PM,01/15/2014 04:34:08 PM,08/25/2014 08:48:43 AM,"55 Aldridge Road Needham, MA",42.265903,-71.241056,"(42.265903, -71.241056)",
930341,City of Somerville,Snow-Streets not shoveled,Archived,"The sidewalk on the corner of Cedar and Summer, at  the house 64 Cedar St, has barely been shoveled at all.  Most of the sidewalks in this neighborhood have cleaned very well.",3,03/18/2014 09:17:32 AM,02/10/2014 10:26:08 AM,02/07/2014 11:34:18 AM,03/18/2014 09:26:44 AM,"64 Cedar St Somerville, MA",42.3907954,-71.1136941,"(42.3907954, -71.1136941)",
416344,City of Quincy,Snow Plowing,Archived,Pedestrians trying to cross Hancock St to reach the Hannaford Supermarket shopping center do not have access to the crosswalk from the walk signal button.  As a result pedestrians are walking in busy Hancock St.,2,03/12/2013 03:18:39 PM,02/19/2013 04:49:06 PM,02/19/2013 04:00:38 PM,04/05/2013 07:57:30 PM,"468-472 Hancock Street Quincy, MA",42.2720405610549,-71.0231475775251,"(42.2720405611, -71.0231475775)",https://seeclickfix.com/files/issue_images/0010/7221/IMG_0033.JPG
875657,Randolph,Other,Archived,Once again the snow plow has put so much snow in the front of our driveway that we are unable to leave our house in an emergency. I am a heart patient. We need a smaller plow to come and remove the snow that was piled up. There is plenty of space for that snow that does not block a drive.,2,01/03/2014 09:51:38 AM,,01/03/2014 09:46:38 AM,01/03/2014 09:51:39 AM,"10 Walter P Martin Circle Randolph, ma",42.1760514,-71.0657474,"(42.1760514, -71.0657474)",
